,pessoaID,solicitacaoID,historicoID,idadePessoa,salarioAnualPessoa,moradiaPessoa,tempoTrabalhoPessoa,motivoEmprestimo,pontuacaoEmprestimo,totalEmprestimo,taxaJuros,statusInadimplencia,comprometimentoRendaPorcentagem,pessoaInadimplente,tempoUltimaSolicitacaoCredito
39,OUEtPkTc-vXcy,NAKFoNIk-NYBx,EUBokKrE-dXz0,23.0,30000.0,Aluguel,3.0,Pessoal,A,3600.0,5.99,0.0,0.12,N,2
40,yeHlTkj5-QbMc,rb9HgWJ7-FNcq,xnU4LhwR-zFwU,39.0,57000.0,Hipotecada,0.0,Pagamento de débitos,A,3000.0,9.63,0.0,0.05,N,14
41,PHiC0Lwb-AWeB,j5S6rOOa-H15G,jXHQAlgc-MWXP,28.0,110244.0,Hipotecada,3.0,Melhora do lar,D,18000.0,12.17,0.0,0.16,N,10
42,TZKDYh3Y-uHOY,cbDeQpd0-Ccej,9hbW9uAB-OSrR,26.0,143375.0,Hipotecada,10.0,Médico,A,12000.0,7.66,0.0,0.08,N,3
43,FwamM7qG-pPmE,zP78RLso-2XrN,3LOr0WLu-TtkI,27.0,28800.0,Própria,0.0,Melhora do lar,A,13000.0,6.92,0.0,0.45,N,10
44,ScEk9Y9l-QBY6,cHil8Pm5-tP4u,WtkEXsUG-j9tt,23.0,62400.0,Hipotecada,7.0,Médico,C,7000.0,13.06,0.0,0.11,N,4
45,YmB2Rnsc-oQ5h,gG4lcPsb-RM3D,xya09eZJ-67vU,31.0,48000.0,Aluguel,11.0,Médico,B,2000.0,10.65,0.0,0.04,N,6
46,AqkexoaE-TUYU,oZK2PNFA-3HrJ,J3DyvL0F-ioUC,28.0,75000.0,Aluguel,1.0,Melhora do lar,A,12000.0,9.63,0.0,0.16,N,7
47,txSoR8py-0GKW,x5HPoqIJ-rN4y,n5dLcnwm-3FHd,25.0,67500.0,Aluguel,2.0,Educativo,A,7200.0,7.88,0.0,0.11,N,4
48,lkPCb4C5-uDdP,od8H684N-22T8,gzugnfEW-tOXE,43.0,54000.0,Aluguel,0.0,Melhora do lar,D,9000.0,15.65,1.0,0.17,Y,16
49,lU1KJhdE-6j3d,5ye4eYT8-rOCk,wbWk4wpx-HSjT,23.0,72324.0,Aluguel,7.0,Empreendimento ,B,12000.0,10.99,0.0,0.17,N,3
50,qDBl3hP4-f1ur,0xOlqW5J-QCOA,zFEHh7n5-Gjvg,26.0,38400.0,Aluguel,8.0,Empreendimento ,D,9100.0,15.37,0.0,0.24,Y,2
51,1KTs8tfm-FKNn,YimyHI1H-XWkK,WPwfN2Hg-ALED,26.0,48000.0,Hipotecada,11.0,Médico,A,5000.0,7.14,1.0,0.1,N,2
52,fLwL31X9-b09l,bSgfXl4P-yxB5,ruE6hY66-Ufb6,21.0,44000.0,Aluguel,0.0,Pessoal,D,5500.0,15.28,1.0,0.13,N,3
53,lDA8rpHS-BnvK,NFxlA8Yf-pGM9,CjLuU6Eb-t6oK,26.0,22800.0,Aluguel,4.0,Pessoal,C,5000.0,13.57,0.0,0.22,Y,2
54,mcOyb7Xa-mQbo,Qds27pJg-CDGI,5SPg4r1B-0JsK,24.0,125000.0,Aluguel,6.0,Pessoal,A,4800.0,6.76,0.0,0.04,N,3
55,imxnq1vQ-90m4,fWjwxX3p-IYUl,UBRKQ3T8-XEbO,38.0,83000.0,Aluguel,3.0,Melhora do lar,G,22250.0,23.22,1.0,0.27,Y,12
56,Fxi7akTL-IFIh,CrKMH5XW-s5aU,MyHrnIIz-Qlwv,24.0,26000.0,Aluguel,2.0,Melhora do lar,D,6200.0,14.11,1.0,0.24,N,4
57,yiTEC9YK-2eXh,CStSMhui-8RX9,07d7IOHY-YrZY,26.0,54000.0,Aluguel,3.0,Melhora do lar,E,13000.0,17.93,0.0,0.24,Y,2
58,OcYUPdMG-zmrD,nKJB2uXq-asi3,F8i1iviQ-bFyG,28.0,33600.0,Hipotecada,12.0,Médico,A,3000.0,5.42,0.0,0.09,N,5
59,ha2E8WRH-9Bsl,DLv3X7mj-leho,2HH1FSuO-REgR,27.0,144000.0,Hipotecada,4.0,Pagamento de débitos,C,21000.0,13.57,0.0,0.15,Y,8
60,Dgc1W7Zr-FiEg,rqjB7W2p-SR3N,sTeWZBnu-QfFZ,44.0,80160.0,Hipotecada,13.0,Pagamento de débitos,C,5500.0,13.92,0.0,0.07,Y,13
61,7a6d1Mw2-B4CC,GRSGBI76-CDAK,aGmN2Tt5-r5HL,24.0,120000.0,Aluguel,4.0,Melhora do lar,C,10000.0,13.61,0.0,0.08,N,2
62,0rraeeHG-d4nD,da3r35cC-zj88,MMLEqhJe-YC4r,28.0,65000.0,Hipotecada,5.0,Médico,C,4500.0,15.96,0.0,0.07,Y,9
63,cuHDFX9d-gm4e,yGhAjxMM-dwKZ,PmFEOtgp-ircd,36.0,35000.0,Própria,1.0,Empreendimento ,B,6000.0,11.49,0.0,0.17,N,13
64,PptOP3tx-8rOz,90Jwp3uF-wi4R,3OMDW36T-7SxS,23.0,40000.0,Aluguel,7.0,Empreendimento ,B,10000.0,10.36,0.0,0.25,N,3
65,9phgp4wB-Y9ZA,Cd90H4Ci-8n9j,ysi0Hszx-tcUd,32.0,40000.0,Aluguel,2.0,Educativo,A,7500.0,8.0,0.0,0.19,N,6
66,bsjYmP00-XXsO,EXQXXO9g-llgX,Yj0s3Sns-mdCe,23.0,65000.0,Hipotecada,7.0,Educativo,A,10500.0,6.03,0.0,0.16,N,4
67,msucpsXN-tljf,emmXTK8G-Wab5,xB6J7ppL-jRx3,22.0,40000.0,Aluguel,6.0,Educativo,C,14000.0,13.11,1.0,0.35,Y,3
68,M4qj1Ei8-ksPr,pqqadT5Y-wDfU,iX5xYUJ6-1hkR,24.0,84996.0,Aluguel,1.0,Médico,A,6000.0,6.03,0.0,0.07,N,3
69,Xqu9oDNW-RLBx,0hp1CtqO-eBTT,dDxAXA0Z-vqXP,22.0,94200.0,Hipotecada,6.0,Pessoal,B,20000.0,8.88,0.0,0.21,N,2
70,k27N5FMA-q8ak,mZNqqzyr-R2WO,QdQ7Zz8y-9Ml3,26.0,130000.0,Aluguel,10.0,Pagamento de débitos,C,20000.0,13.11,0.0,0.15,Y,4
71,bzN7Nmj5-GyOL,ygIr9h3p-GH7z,vEm0QC0t-sg2q,23.0,59000.0,Aluguel,3.0,Educativo,D,10000.0,15.58,1.0,0.17,N,3
72,CGr8LFPX-mxsF,QnYsidO9-QwXr,ifl4LsqP-5tir,29.0,48000.0,Aluguel,1.0,Médico,A,8800.0,8.49,0.0,0.18,N,9
73,m5pFFwqC-1WQR,DZHlC7M0-m5Qo,h3graqDS-6Gyi,55.0,50000.0,Aluguel,2.0,Pagamento de débitos,A,20000.0,7.51,1.0,0.4,N,28
74,6OXU5BcC-OArF,2Lb6zAiB-iwqj,QsR7ZdBZ-jb35,27.0,62900.0,Aluguel,9.0,Médico,D,7450.0,15.99,1.0,0.1,N,10
75,9E7QIz92-uxah,hZZipyFJ-TQuv,WWccHhq0-gnBy,31.0,117000.0,Hipotecada,5.0,Melhora do lar,A,3600.0,6.91,0.0,0.03,N,5
76,qYZjnZTj-S2pA,858XFQtN-UiXQ,svg8odFf-HK2Q,30.0,40000.0,Aluguel,4.0,Empreendimento ,C,4500.0,14.26,0.0,0.11,Y,6
77,PwcmcBmt-Jcc0,dxjxBnHs-C5Mh,tbg8X1l2-G8X7,29.0,59000.0,Hipotecada,7.0,Pagamento de débitos,B,15000.0,9.76,1.0,0.25,N,8
78,U7oPKUpP-Pds2,sjU8QUli-xQw2,uf0ShAD4-nYdG,37.0,55236.0,Hipotecada,9.0,Empreendimento ,A,6500.0,6.03,0.0,0.12,N,16
79,ctBumKmf-2HFX,HA4nGUol-mwsh,ghX2NQuF-j1vc,28.0,42000.0,Aluguel,9.0,Educativo,A,2500.0,8.49,0.0,0.06,N,8
80,2YlOM1b3-YIkJ,FD8tLF5K-PBsh,JhJKpSZm-vE2v,22.0,96000.0,Aluguel,4.0,Educativo,B,3150.0,6.0,0.0,0.03,N,2
81,MzfAz4PT-4spj,tKohBZsd-hPvJ,vLyFyX0b-YBGA,25.0,58000.0,Hipotecada,2.0,Pessoal,D,2750.0,12.86,0.0,0.05,Y,4
82,38EUJjPY-6fW4,3a9BXCUf-ta6I,uWI1WxOp-pxKg,28.0,74000.0,Própria,12.0,Empreendimento ,D,5450.0,12.67,0.0,0.07,Y,6
83,eyD8j8Jm-AyT7,xdCoQ94X-rUhG,WtrvELv6-IYRB,36.0,31000.0,Aluguel,2.0,Empreendimento ,A,2500.0,8.9,0.0,0.08,N,15
84,bzDaSbNJ-M4d9,YMY5kJQQ-IaeA,AL7Q8Car-IZMh,38.0,96000.0,Hipotecada,0.0,Pessoal,C,1500.0,14.26,0.0,0.02,N,14
85,m0WmiYfs-81Xn,MXzLe5pq-XbkX,1IwH0IyK-v4sh,26.0,52000.0,Hipotecada,6.0,Pessoal,B,3300.0,10.99,0.0,0.06,N,2
86,xLNpUoQD-ceDf,PHNEjRXh-yxgE,TtHJGkId-mFko,24.0,32004.0,Hipotecada,5.0,Empreendimento ,C,14000.0,12.73,0.0,0.44,N,4
87,y8Ki7z4i-bBTA,cnQIziFC-p3xa,CKvSDY6o-z9bF,24.0,86000.0,Hipotecada,0.0,Pessoal,B,20000.0,10.99,1.0,0.23,N,4
88,1YHsXohP-xYOS,D6KZDMfG-3usL,ULQbRI1r-YsXX,29.0,70000.0,Hipotecada,13.0,Médico,A,10000.0,6.99,0.0,0.14,N,5
89,D2p02PXU-CNuP,EyDonijD-HEiN,gwAHt9Jd-Tza6,25.0,35500.0,Aluguel,5.0,Médico,B,4000.0,10.99,0.0,0.11,N,3
90,OjRu9i1E-v7Lh,IznlYOmB-5sWd,fGksb4d0-TH7L,22.0,18000.0,Aluguel,0.0,Médico,C,3000.0,13.99,1.0,0.17,Y,4
91,7XcKTbdT-5LpS,Dppg7pCX-gGee,oSxWU86h-AzLU,36.0,120000.0,Hipotecada,12.0,Melhora do lar,A,14500.0,5.42,0.0,0.12,N,13
92,CXDRMHSB-BT8G,lcTLYhL4-N0Cb,MYcW2hvx-iOUL,30.0,43200.0,Hipotecada,5.0,Melhora do lar,C,4200.0,13.49,0.0,0.1,Y,7
93,WyMywUZd-WtEU,fkdREc6l-hJtO,SyNpRWMf-IBFE,26.0,28800.0,Aluguel,4.0,Médico,A,7000.0,5.42,0.0,0.24,N,4
94,wfoF4hsy-sPIH,yI3nJJWF-1GpQ,gXsECNoE-7d2r,32.0,40277.0,Aluguel,5.0,Médico,B,15000.0,11.71,1.0,0.37,N,8
95,RnzUnhl7-TDvQ,inNswnu4-JP3J,Q5xs9SPO-JsWw,26.0,85000.0,Aluguel,2.0,Empreendimento ,A,28000.0,7.49,1.0,0.33,N,3
96,GLmLcJ5z-K4n7,F4GrC60M-FeoQ,ewmubkSG-CbNk,23.0,54804.0,Aluguel,4.0,Educativo,D,3600.0,16.77,0.0,0.07,Y,4
97,mKoJbC6b-SZn4,QS0el12k-DzFe,fgA16Q17-8zeO,24.0,60000.0,Aluguel,4.0,Pessoal,B,12500.0,11.49,0.0,0.21,N,3
98,0POZyPIf-rqOB,pS4JEQBE-nh3z,44fIw9Cy-qH5C,25.0,80000.0,Hipotecada,7.0,Melhora do lar,A,6000.0,7.9,0.0,0.07,N,3
99,FmwjqMWP-zmuy,jxS64doh-Hetf,fqYQuO2p-FB60,24.0,130000.0,Aluguel,7.0,Pagamento de débitos,B,24000.0,11.49,0.0,0.18,N,3
100,g4hP4TmR-OgCU,hBsWlIXf-nCBR,cBZU1X0B-Ya7B,23.0,50000.0,Aluguel,5.0,Pessoal,A,10000.0,8.94,0.0,0.2,N,2
101,agp5H48v-Q1hB,oAjEcLOz-WXon,PlIjp3aN-bDBM,23.0,30000.0,Aluguel,2.0,Educativo,A,6400.0,6.99,0.0,0.21,N,4
102,l7TlibFa-hGkH,60NSc0IY-GNAG,8drWdA2H-aQUj,34.0,67392.0,Hipotecada,0.0,Pessoal,C,15000.0,13.85,1.0,0.22,Y,5
103,opJH3Cho-OLcp,65TX7qut-reMS,EkL0Ezob-zEL2,30.0,39552.0,Hipotecada,2.0,Empreendimento ,B,12375.0,10.37,0.0,0.31,N,9
104,Lo9hbmzq-QiTt,ECHWWJy5-HbrP,TJEDr2EU-FR1b,28.0,108000.0,Aluguel,2.0,Pessoal,D,20000.0,15.31,1.0,0.19,N,7
105,W6OrWN06-2MAy,np9awxxf-u2ab,iYK0xidJ-lBDt,31.0,64900.0,Aluguel,2.0,Médico,A,10000.0,7.66,0.0,0.15,N,5
106,lIztn2BD-30W1,6UYq401o-sJ0A,yTwTxp9g-cdy4,25.0,25200.0,Própria,5.0,Melhora do lar,D,1200.0,15.99,0.0,0.05,Y,3
107,i9PIXGe3-abQG,yYlc2ZFN-f1yz,xrY2j1Fr-Mpxx,25.0,56000.0,Aluguel,2.0,Pessoal,B,3000.0,12.69,0.0,0.05,N,3
108,JxRWa6NZ-4s7q,wbvipmUO-9m1j,r8ABnD9l-ekpt,26.0,56045.0,Aluguel,1.0,Médico,D,24250.0,14.96,1.0,0.37,N,2
109,bUEJEnSA-Cii3,Oq73PUeo-cFIB,c4BkPYor-itKH,24.0,50000.0,Aluguel,8.0,Pessoal,C,8000.0,15.96,0.0,0.16,N,3
110,9v6Cnm8p-ZHB3,XI95Yv98-aWdI,xkx5dKt2-5Kfo,24.0,70000.0,Hipotecada,9.0,Médico,A,7500.0,8.32,0.0,0.11,N,2
111,zcxpTvQR-DFaS,yvSJ3JZJ-wnTi,tdl6J5W8-cSQf,30.0,50000.0,Aluguel,4.0,Melhora do lar,E,16000.0,16.77,1.0,0.32,N,5
112,q7p8al6p-kovf,IzAKBBp8-4hek,8kFbSpx8-Ca6l,29.0,24000.0,Própria,3.0,Pessoal,A,7200.0,7.51,0.0,0.3,N,6
113,piczfiLk-B4dv,ijS2Kc62-eEyZ,hg0X557p-tHJZ,25.0,61000.0,Própria,2.0,Pessoal,C,15000.0,14.65,0.0,0.25,N,2
114,GgTyyvXm-e0SY,Onkk8AA3-aMnI,sHtyBYaq-GIsw,26.0,225000.0,Aluguel,1.0,Educativo,A,3000.0,9.32,0.0,0.01,N,4
115,WAwUiLik-5mQX,2eq63G7B-PFeX,COvG0Egu-QN1J,23.0,92000.0,Hipotecada,7.0,Pessoal,B,15000.0,11.26,0.0,0.16,N,2
116,fyjIH75q-Opz6,sioi5gJg-kz7A,NMvRbjbc-2qfW,43.0,43000.0,Hipotecada,5.0,Pessoal,B,15000.0,8.88,0.0,0.35,N,15
117,CgkgmqAI-bXfk,R4Lvrgcv-B1cq,EJfFZ22H-HLG4,23.0,54000.0,Aluguel,7.0,Pagamento de débitos,B,15550.0,11.71,0.0,0.29,N,4
118,t7cAmWrg-TT20,g1QJh3e9-ELRe,3rvNCYpz-c6yY,25.0,60000.0,Aluguel,8.0,Melhora do lar,D,5000.0,15.57,0.0,0.08,N,4
119,GTO3xGzD-4oiz,YWO4Ma8L-qI9E,sF5jokvT-eTUg,30.0,72000.0,Hipotecada,3.0,Pessoal,B,12000.0,10.95,0.0,0.17,N,5
120,RiKM4mhM-8EX2,ZZjPYZPm-NImQ,vDYgjxQB-7qmN,25.0,99996.0,Hipotecada,3.0,Empreendimento ,A,8000.0,8.0,0.0,0.08,N,2
121,n0Jk3UO3-Ommp,mI8AmH0u-flJt,Rmf3cyuK-c0TT,23.0,60000.0,Aluguel,0.0,Educativo,C,11200.0,10.78,0.0,0.19,N,3
122,zCR5X35c-MdAL,wwj1UCDQ-tQwK,SjX1a1pt-ENCE,23.0,31000.0,Aluguel,1.0,Pessoal,D,1000.0,14.96,1.0,0.03,Y,3
123,3WJPPaUe-uaML,lk33Hcjz-gLo8,OdvqMRpk-Dx70,23.0,98000.0,Aluguel,0.0,Educativo,E,10000.0,16.4,1.0,0.1,N,2
124,LOT4sgsC-eLDM,oDBxfg7v-uSR3,oZTk0aaU-C9Ez,26.0,30000.0,Hipotecada,0.0,Educativo,A,4000.0,7.14,0.0,0.13,N,3
125,CxRGrCEd-m3Bm,SBQMzf00-iI25,zWEQQbgS-9xlz,48.0,57996.0,Aluguel,2.0,Melhora do lar,C,7000.0,13.61,0.0,0.12,Y,12
126,gBGhZQCP-fvPe,yskrCuGZ-eQ27,ucQH7loD-C8C0,27.0,64000.0,Aluguel,3.0,Pessoal,A,3600.0,7.49,1.0,0.06,N,5
127,aZ0nnQl7-xAYm,l79BmKKJ-13P8,QratAEWB-igg5,24.0,75000.0,Hipotecada,7.0,Educativo,A,8500.0,6.99,0.0,0.11,N,3
128,OAetmPHN-FJ1g,w1PEWh4n-imOZ,yZc4buts-o2fL,24.0,29200.0,Hipotecada,6.0,Pessoal,A,2500.0,6.76,0.0,0.09,N,2
129,LCnIhp8f-lCPx,JtKax5NN-P0te,BO9poiuC-yvaf,30.0,107000.0,Hipotecada,0.0,Pagamento de débitos,C,2500.0,10.78,0.0,0.02,Y,6
130,s7pyJBwl-5piE,Widj4IOW-PoY5,YrpSRAWW-wKy9,22.0,60000.0,Hipotecada,5.0,Empreendimento ,A,5600.0,7.49,0.0,0.09,N,3
131,REbzFYNl-hnes,lsEy07E7-BXRJ,kWdhMz3D-Q5WF,25.0,78000.0,Hipotecada,9.0,Educativo,A,8000.0,5.79,0.0,0.1,N,2
132,X4PQWYji-tR9M,NbARdbTQ-rIPd,pQQb8IOQ-Y6Ml,23.0,43000.0,Hipotecada,3.0,Empreendimento ,D,3600.0,15.62,0.0,0.08,N,3
133,puns5iqo-IDq9,jvZHNtMW-4wMu,6q7UoGFU-W3EY,23.0,75000.0,Hipotecada,2.0,Empreendimento ,E,19600.0,15.13,0.0,0.26,N,3
134,Kh0zx7s4-bQs2,nEZgOU5Q-P3sJ,7XkLiMTW-oCuJ,24.0,49000.0,Outro,1.0,Pessoal,C,20000.0,11.34,1.0,0.41,Y,4
135,w3SRhnZE-KFio,STBcPN5B-qnp0,gBjiRDrr-Zs0n,29.0,65000.0,Hipotecada,5.0,Médico,B,6000.0,10.36,0.0,0.09,N,7
136,1fUhgAW3-Mwyd,jOMmvvzc-3ubO,jq49PCQl-KaGi,34.0,30000.0,Própria,3.0,Melhora do lar,C,8875.0,14.27,0.0,0.3,Y,8
137,WRzjj0aD-XyKa,zdX0hfy0-aaLQ,AzI4zOmY-DnEn,24.0,75000.0,Hipotecada,0.0,Educativo,B,7000.0,11.99,0.0,0.09,N,3
138,zkt51GgD-xc3p,syD8Yswd-QYXa,ERE1cQhm-Aej6,24.0,88000.0,Aluguel,0.0,Melhora do lar,B,14000.0,9.99,0.0,0.16,N,3
139,SlAQbthu-QeUh,X67pnsaD-cDua,QnzzY9Jz-8QYo,27.0,85000.0,Hipotecada,9.0,Médico,B,24000.0,11.71,0.0,0.28,N,10
140,UoU2H0Jl-tcRs,K7FCb64r-qtkt,biBFBQlr-QAKv,22.0,33600.0,Aluguel,3.0,Educativo,B,10000.0,10.25,0.0,0.3,N,3
141,0g7M0qhC-I6EQ,QObwPbTq-0c5q,btKWsiaB-UD8w,26.0,75000.0,Aluguel,2.0,Pessoal,C,16000.0,13.35,0.0,0.21,Y,2
142,QXJII7NW-N2Bw,CdCXErYN-3OlN,2CJrH18S-fRDJ,29.0,18000.0,Aluguel,2.0,Melhora do lar,B,3000.0,12.69,1.0,0.17,N,8
143,G1pWB5Bq-mkFg,Y5rt4Pf1-RptN,H5uMTSKK-ChzA,25.0,31200.0,Própria,9.0,Pessoal,A,15000.0,6.03,0.0,0.48,N,4
144,RbC5DLyf-5EW6,fPHlhrRP-jiKD,oLW6vbWF-LqIL,27.0,44000.0,Aluguel,6.0,Empreendimento ,A,4800.0,7.51,0.0,0.11,N,10
145,CZa51aCR-LFnz,v26nv5KM-3BHN,SnC5SCNx-FLSs,47.0,30000.0,Aluguel,5.0,Pagamento de débitos,B,8000.0,12.18,1.0,0.27,N,11
146,w4crMBvt-TglI,D3yARbkf-YJoW,ijqY6pQx-JytZ,25.0,52000.0,Aluguel,3.0,Educativo,B,7200.0,12.69,0.0,0.14,N,3
147,jedagxzt-7blT,yw4fd2hG-N3zN,NvMCUgIC-DQXa,26.0,29000.0,Aluguel,0.0,Melhora do lar,D,3400.0,15.62,1.0,0.12,Y,4
